english_name,chinese_name,source_id,extra_json
Tom Clancy's – Shadow Wars (EU)(M5),幽灵战士-暗影战争,0001,"{""genre"":""策略|回合制"",""img"":""https://data.yang2000ling.com/img/3ds_200/0001.jpg"",""language"":""英语|法语|西班牙语|德语|意大利语"",""publisher"":""Ubisoft""}"
Super Monkey Ball 3D (EU)(M5),超级猴球3D,0002,"{""genre"":""动作|普通"",""img"":""https://data.yang2000ling.com/img/3ds_200/0002.jpg"",""language"":""英语|法语|西班牙语|德语|意大利语"",""publisher"":""SEGA""}"
LEGO Star Wars III – The Clone Wars (EU)(M6),乐高星球大战3-克隆战争,0003,"{""genre"":""动作冒险"",""img"":""https://data.yang2000ling.com/img/3ds_200/0003.jpg"",""language"":""英语|法语|西班牙语|德语|意大利语|丹麦语"",""publisher"":""LucasArts""}"
"Legend of Zelda – Ocarina of Time 3D, The (EU)(M5)",塞尔达传说-时之笛3D,0004,"{""genre"":""动作冒险"",""img"":""https://data.yang2000ling.com/img/3ds_200/0004.jpg"",""language"":""英语|法语|西班牙语|德语|意大利语"",""publisher"":""Nintendo""}"
Super Mario 3D Land (EU)(M7),超级马里奥大陆3D,0005,"{""genre"":""动作|平面|3D"",""img"":""https://data.yang2000ling.com/img/3ds_200/0005.jpg"",""language"":""英语|俄语|法语|西班牙语|德语|意大利语|荷兰语|葡萄牙语"",""publisher"":""Nintendo""}"
Star Fox 64 3D (EU)(M5),星际火狐64 3D,0006,"{""genre"":""动作|射击"",""img"":""https://data.yang2000ling.com/img/3ds_200/0006.jpg"",""language"":""英语|法语|西班牙语|德语|意大利语"",""publisher"":""Nintendo""}"
Pilotwings Resort (EU)(M5),飞行之翼-旅游圣地,0007,"{""genre"":""模拟|飞行"",""img"":""https://data.yang2000ling.com/img/3ds_200/0007.jpg"",""language"":""英语|法语|西班牙语|德语|意大利语"",""publisher"":""Nintendo""}"
Resident Evil – The Mercenaries 3D (EU)(M5),生化危机-雇佣兵3D,0008,"{""genre"":""动作冒险"",""img"":""https://data.yang2000ling.com/img/3ds_200/0008.jpg"",""language"":""英语|法语|西班牙语|德语|意大利语"",""publisher"":""Capcom""}"
Puzzle Bobble Universe (EU)(M5),飞出来吧!泡泡龙3D,0009,"{""genre"":""混合|解谜"",""img"":""https://data.yang2000ling.com/img/3ds_200/0009.jpg"",""language"":""英语|法语|西班牙语|德语|意大利语"",""publisher"":""Square Enix""}"
Rayman 3D (EU)(M5),雷曼3D,0010,"{""genre"":""动作|平面|3D"",""img"":""https://data.yang2000ling.com/img/3ds_200/0010.jpg"",""language"":""英语|法语|西班牙语|德语|意大利语"",""publisher"":""Ubisoft""}"
