system,english_name,chinese_name,source_id,extra_json
3do,20th Century Video Almanac (USA),20世纪年鉴（美版）,3DO#1,
3do,3D Atlas (Europe),3D 阿特拉斯（欧版）,3DO#2,
3do,3D Atlas (USA),3D 阿特拉斯（美版）,3DO#3,
3do,3DO de Shiru Miru Asobu - Nakajima Miyuki (Japan),,3DO#4,
3do,"3DO Game Guru (USA, Europe)",3DO游戏大师（美版 欧版）,3DO#5,
3do,"3DO Interactive Sampler CD 2, The (USA)",3DO游戏演示集锦CD2（美版）,3DO#6,
3do,"3DO Interactive Sampler CD 3, The (USA)",3DO游戏演示集锦CD3（美版）,3DO#7,
3do,"3DO Interactive Sampler CD 4, The (USA)",3DO游戏演示集锦CD4（美版）,3DO#8,
3do,"3DO Interactive Sampler CD, The (USA)",3DO游戏演示集锦CD（美版）,3DO#9,
3do,"3DO Interactive Sampler, The (Europe)",3DO游戏演示集锦（欧版）,3DO#10,
3do,"3DO Multi Game Sampler Number 3, The (Europe)",3DO游戏演示集锦3（欧版）,3DO#11,
3do,AI Shougi (Japan),AI将棋（日版）,3DO#12,
3do,"Alone in the Dark (Europe) (En,Fr)","鬼屋魔影（欧版） (En,Fr)",3DO#13,
3do,"Alone in the Dark (Europe) (En,Fr) (NTSC Version)","鬼屋魔影（欧版） (En,Fr) （NTSC制式版本）",3DO#14,
3do,Alone in the Dark (Japan),鬼屋魔影（日版）,3DO#15,
3do,Alone in the Dark (USA),鬼屋魔影（美版）,3DO#16,
3do,Alone in the Dark (USA) (Demo),鬼屋魔影（美版） （演示版）,3DO#17,
3do,Alone in the Dark 2 (France),鬼屋魔影2（法国版）,3DO#18,
3do,Alone in the Dark 2 (Japan),鬼屋魔影2（日版）,3DO#19,
3do,Alone in the Dark 2 (USA),鬼屋魔影2（美版）,3DO#20,
3do,Anno Mitsumasa Pepperon-mura no Shiki (Japan),安野光雅 佩隆村的四季（日版）,3DO#21,
3do,Aqua World - Umi Monogatari (Japan),海美物語（日版）,3DO#22,
3do,Armageddon (Korea),,3DO#23,
3do,AutoBahn Tokio (Japan),东京时速（日版）,3DO#24,
3do,AutoBahn Tokio (Japan) (Demo),东京时速（日版） （演示版）,3DO#25,
3do,Bakushou!! All Yoshimoto Quiz-ou Kettei-sen (Japan),爆笑!吉本 答题王决定战（日版）,3DO#26,
3do,"Ballz - The Director's Cut (World) (En,Ja)","BallZ导演剪辑版（世界版） (En,Ja)",3DO#27,
3do,Battle Blues (Korea),,3DO#28,
3do,Battle Chess (Europe),国际象棋（欧版）,3DO#29,
3do,Battle Chess (Japan),国际象棋（日版）,3DO#30,
3do,Battle Chess (USA),国际象棋（美版）,3DO#31,
3do,Battle Pinball (Japan),战斗弹珠台（日版）,3DO#32,
3do,BattleSport (Europe),战斗运动（欧版）,3DO#33,
3do,BattleSport (USA),战斗运动（美版）,3DO#34,
3do,"BC Racers (USA, Europe)",石器时代赛车（美版 欧版）,3DO#35,
3do,Belzerion (Japan),凡尔赛里昂（日版）,3DO#36,
3do,BFS - Blue Forest Story (Japan),蓝森林物语 风之封印（日版）,3DO#37,
3do,BFS - Blue Forest Story (Japan) (Alt),蓝森林物语 风之封印（日版） (Alt),3DO#38,
3do,Blade Force (Europe),刃之力量（欧版）,3DO#39,
3do,Blade Force (Japan),刃之力量（日版）,3DO#40,
3do,Blade Force (Korea),刃之力量（韩国版）,3DO#41,
3do,Blade Force (USA),刃之力量（美版）,3DO#42,
3do,Blonde Justice (USA),金发大法官（美版）,3DO#43,
3do,Blood Angels (Japan),血腥天使（日版）,3DO#44,
3do,Bodyconscious Digital Rave! Part 1 - Shinjuku & Takasaki (Japan),,3DO#45,
3do,Bonogurashi (Japan),我的生活（日版）,3DO#46,
3do,BrainDead 13 (USA) (Disc 1),吃脑外星人（美版） （光碟 1）,3DO#47,
3do,BrainDead 13 (USA) (Disc 1) (RE-1),吃脑外星人（美版） （光碟 1） (RE-1),3DO#48,
3do,BrainDead 13 (USA) (Disc 2),吃脑外星人（美版） （光碟 2）,3DO#49,
3do,Burning Soldier (Canada),燃烧的士兵（加拿大版）,3DO#50,
3do,Burning Soldier (Europe),燃烧的士兵（欧版）,3DO#51,
3do,Burning Soldier (Japan),燃烧的士兵（日版）,3DO#52,
3do,"Burning Soldier (USA, Korea)",燃烧的士兵（美版，韩版）,3DO#53,
3do,Bust-A-Move (USA),,3DO#54,
3do,Cannon Fodder (Europe),小兵立大功（欧版）,3DO#55,
3do,Cannon Fodder (USA),小兵立大功（美版）,3DO#56,
3do,Captain Quazar & BattleSport (Europe) (Demo),Q上尉 + 战斗运动（欧版） （演示版）,3DO#57,
3do,Captain Quazar (Europe),Q上尉（欧版）,3DO#58,
3do,Captain Quazar (Japan),Q上尉（日版）,3DO#59,
3do,Captain Quazar (Korea),Q上尉（韩国版）,3DO#60,
3do,Captain Quazar (USA),Q上尉（美版）,3DO#61,
3do,Carrier - Fortress at Sea (USA),海上堡垒（美版）,3DO#62,
3do,Casper (USA),鬼马小精灵（美版）,3DO#63,
3do,Chiki Chiki Machine Mou Race - Kenken to Black Maou no Ijiwaru Daisakusen (Japan),顽皮狗 黑魔王的疯狂大作战（日版）,3DO#64,
3do,Chiki Chiki Machine Mou Race 2 - In Space (Japan),顽皮狗2（日版）,3DO#65,
3do,Chiki Chiki Machine Mou Race 2 - In Space (Japan) (Demo),顽皮狗2（日版） （演示版）,3DO#66,
3do,Club 3DO - Station Invasion (USA),3DO俱乐部（美版）,3DO#67,
3do,Corpse Killer (Japan),杀人僵尸（日版）,3DO#68,
3do,Corpse Killer (USA),杀人僵尸（美版）,3DO#69,
3do,"Coven, The (USA)",女巫的聚会（美版）,3DO#70,
3do,Cowboy Casino (USA),牛仔赌场（美版）,3DO#71,
3do,Crash 'n Burn (Japan),日食战机（日版）,3DO#72,
3do,Crash 'n Burn (USA) (Not for Resale),日食战机（美版） (Not for Resale),3DO#73,
3do,"Crash 'n Burn (USA, Korea)",日食战机（美版，韩版）,3DO#74,
3do,Crayon Shin-chan - Puzzle Daimaou no Nazo (Japan),蜡笔小新 谜题大魔王之谜（日版）,3DO#75,
3do,Creature Shock (USA) (Disc 1),生物冲击（美版） （光碟 1）,3DO#76,
3do,Creature Shock (USA) (Disc 2),生物冲击（美版） （光碟 2）,3DO#77,
3do,Crime Patrol (USA),罪恶刑警（美版）,3DO#78,
3do,Crime Patrol (USA) (3DO Developer Services),罪恶刑警（美版） (3DO Developer Services),3DO#79,
3do,"Crystal Dynamics Best Selection ~ Sample This! (USA, Japan)","水晶动力 精选集(USA, Japan)",3DO#80,
3do,CyberDillo (USA),生化犰狳（美版）,3DO#81,
3do,Cyberia (Europe),网络世界（欧版）,3DO#82,
3do,Cyberia (Japan),网络世界（日版）,3DO#83,
3do,Cyberia (USA),网络世界（美版）,3DO#84,
3do,D (Germany) (Disc 1),D之食卓（德国版） （光碟 1）,3DO#85,
3do,D (Germany) (Disc 2),D之食卓（德国版） （光碟 2）,3DO#86,
3do,"D (USA, Europe) (Disc 1)",D之食卓（美版 欧版） （光碟 1）,3DO#87,
3do,"D (USA, Europe) (Disc 2)",D之食卓（美版 欧版） （光碟 2）,3DO#88,
3do,D no Shokutaku (Japan) (Disc 1),D之食卓（日版） （光碟 1）,3DO#89,
3do,D no Shokutaku (Japan) (Disc 2),D之食卓（日版） （光碟 2）,3DO#90,
3do,D's Diner - The Director's Cut (Japan) (Disc A),D之食卓 导演剪辑版（日版） （光碟 A）,3DO#91,
3do,D's Diner - The Director's Cut (Japan) (Disc B),D之食卓 导演剪辑版（日版） （光碟 B）,3DO#92,
3do,D's Diner - The Director's Cut (Japan) (Disc C),D之食卓 导演剪辑版（日版） （光碟 C）,3DO#93,
3do,"Daedalus Encounter, The (Japan) (Demo)",宇宙冒险家（日版） （演示版）,3DO#94,
3do,"Daedalus Encounter, The (Korea) (Disc 1)",宇宙冒险家（韩国版） （光碟 1）,3DO#95,
3do,"Daedalus Encounter, The (Korea) (Disc 2)",宇宙冒险家（韩国版） （光碟 2）,3DO#96,
3do,"Daedalus Encounter, The (Korea) (Disc 3)",宇宙冒险家（韩国版） （光碟 3）,3DO#97,
3do,"Daedalus Encounter, The (Korea) (Disc 4)",宇宙冒险家（韩国版） （光碟 4）,3DO#98,
3do,"Daedalus Encounter, The (USA) (Disc 1)",宇宙冒险家（美版） （光碟 1）,3DO#99,
3do,"Daedalus Encounter, The (USA) (Disc 2)",宇宙冒险家（美版） （光碟 2）,3DO#100,
3do,"Daedalus Encounter, The (USA) (Disc 3)",宇宙冒险家（美版） （光碟 3）,3DO#101,
